mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf
80,layer2.0.conv2,0.24327256944444445,-0.05270474263915427,0.03943127796844878,-0.0527043196634257,0.03943174208372718,103.34135,103.34135,0.7694
80,layer2.0.downsample.0,0.5,0.4795804633565869,0.4425297983592473,0.4795804633565869,0.4425297983592473,48.9687,48.9687,0.7694
80,layer2.1.conv1,0.2436252170138889,0.0030599448118153855,0.06201610156729234,0.0030599448118153855,0.06201610156729234,111.077736,111.077736,0.7694
80,layer2.1.conv2,0.24439832899305555,-0.005403412357187419,0.04530728294240619,-0.005403412357187419,0.04530728294240619,113.07399,113.07399,0.7694
80,layer2.2.conv1,0.24338785807291666,0.00654388129699136,0.09512892769800195,0.006544354697011987,0.09512944276154424,105.13936,105.13936,0.7694
80,layer2.2.conv2,0.2431708441840278,-0.017839035233871404,-0.009586717785402814,-0.017839035233871404,-0.009586717785402814,122.12137,122.12137,0.7694
80,layer2.3.conv1,0.03733995225694445,-0.08151505049563106,-0.49564342435251396,-0.08151505049563106,-0.49564342435251396,59.864857,59.864857,0.7694
80,layer2.3.conv2,0.2431098090277778,-0.14583607687342726,-0.2200557531960408,-0.14583647766044,-0.22005611915802573,148.684,148.684,0.7694
80,layer3.0.conv1,0.18156602647569445,-0.23012624170977675,-0.2572996797686637,-0.23012624170977675,-0.2572996797686637,121.41185,121.41185,0.7694
80,layer3.0.conv2,0.12024943033854167,-0.4174318576588297,-0.5467774432610458,-0.4174318120268043,-0.5467774077605408,202.23692,202.23692,0.7694
80,layer1.0.conv1,0.274658203125,0.1798017122681514,0.14266926325463958,0.1798017122681514,0.14266926325463958,74.525856,74.525856,0.7694
80,conv1,0.5,0.4653555422602419,0.37872001195274474,0.4653555422602419,0.37872001195274474,57.005512,57.005512,0.7694
80,layer4.2.conv1,0.020963033040364582,-0.5027715162598516,-0.6903583829737739,-0.5027715162598516,-0.6903583829737739,108.231834,108.231834,0.7694
80,layer4.1.conv2,0.052803887261284724,-0.41717067688847087,-0.4278693540443509,-0.41717067688847087,-0.4278693540443509,111.83517,111.83517,0.7694
81,layer2.3.conv2,0.2431098090277778,-0.14769409946503767,-0.20566590062915452,-0.14769433220426853,-0.20566611753802166,142.76294,142.76294,0.7816
81,layer2.3.conv1,0.034993489583333336,-0.10159131289026736,-0.5127639079809432,-0.1015911076303062,-0.5127637966618267,57.253254,57.253254,0.7816
81,layer2.2.conv2,0.2431708441840278,-0.041327745670149865,-0.007884883608471898,-0.04132962548521329,-0.00788682900006117,116.00177,116.00177,0.7816
81,layer2.2.conv1,0.24338785807291666,0.00389310759275817,0.03803372515724257,0.0038921562256472777,0.038032707092759695,116.30071,116.30072,0.7816
81,layer2.1.conv2,0.24439832899305555,-0.015267728090908855,0.042455745578072225,-0.01526626628853467,0.042457329068689834,111.46379,111.46378,0.7816
81,layer2.1.conv1,0.2436252170138889,-0.0019172815033136215,0.035980667624677394,-0.0019177253511709598,0.03598020692358414,115.53486,115.53486,0.7816
81,layer2.0.downsample.0,0.5,0.469212247522498,0.43622677989018593,0.469212247522498,0.43622677989018593,48.714832,48.714832,0.7816
81,layer3.0.conv1,0.18156602647569445,-0.2328480218065395,-0.26031697871215176,-0.23284868637758102,-0.26031761948729126,121.539375,121.539375,0.7816
81,fc,0.5,0.23007145236220256,0.7283940910854847,0.23007145236220256,0.7283940910854847,41.883625,41.883625,0.7816
81,layer1.2.conv2,0.498046875,0.29798946511250674,0.4632083163959033,0.29798820582718283,0.4632069530404663,100.27922,100.27921,0.7816
81,layer1.2.conv1,0.34814453125,0.23325610356281043,0.2687477265824316,0.23325610356281043,0.2687477265824316,83.9422,83.9422,0.7816
81,layer1.1.conv2,0.431396484375,0.2806462755468997,0.3817459182597189,0.2806462755468997,0.3817459182597189,94.71768,94.71768,0.7816
81,layer1.1.conv1,0.4244249131944444,0.2664866314880454,0.3474719306768531,0.2664866314880454,0.3474719306768531,95.80203,95.80203,0.7816
81,layer1.0.conv2,0.3808322482638889,0.206894129771317,0.2586952349362895,0.206894129771317,0.2586952349362895,89.40204,89.40204,0.7816
81,layer1.0.conv1,0.28564453125,0.17961366704398893,0.14692745096323806,0.17961366704398893,0.14692745096323806,76.933105,76.933105,0.7816
81,conv1,0.5,0.4444216836074291,0.3591652342559704,0.4444216836074291,0.3591652342559704,56.99386,56.99386,0.7816
81,layer2.0.conv1,0.368896484375,0.13530278866846027,0.17971990138131147,0.135304703929039,0.17972189157374616,106.446625,106.446625,0.7816
81,layer2.0.conv2,0.24327256944444445,-0.05443522583935576,0.03823662805736035,-0.054435647556781076,0.038236165008725696,103.202576,103.202576,0.7816
81,layer3.0.conv2,0.12024943033854167,-0.4179222096485538,-0.5476042653344407,-0.4179222096485538,-0.5476042653344407,202.63332,202.63332,0.7816
81,layer3.1.conv1,0.0688290066189236,-0.5450551157730462,-0.6469375088865658,-0.5450553368432939,-0.6469376804493531,115.79865,115.79865,0.7816
81,layer4.2.conv2,0.05959955851236979,-0.4626062035671592,-0.4770929240836328,-0.4626062035671592,-0.4770929240836328,128.50327,128.50327,0.7816
81,layer4.2.conv1,0.020751529269748263,-0.5034611337045954,-0.6919591400763335,-0.5034611337045954,-0.6919591400763335,107.92298,107.92298,0.7816
81,layer4.1.conv2,0.05423143174913195,-0.42239966997829087,-0.43081129916152455,-0.42239966997829087,-0.43081129916152455,113.994316,113.994316,0.7816
81,layer4.1.conv1,0.05407375759548611,-0.3823506972400662,-0.4436147154272547,-0.3823506972400662,-0.4436147154272547,135.8239,135.8239,0.7816
81,layer4.0.downsample.0,0.5,-0.1959433341939845,-0.2809641871250623,-0.1959433341939845,-0.2809641871250623,232.9356,232.9356,0.7816
81,layer4.0.conv2,0.05987972683376736,-0.329181552674219,-0.5720085324625188,-0.329181552674219,-0.5720085324625188,298.978,298.978,0.7816
81,layer4.0.conv1,0.08964792887369792,-0.44380802778298745,-0.631816930626748,-0.44380802778298745,-0.631816930626748,253.49825,253.49825,0.7816
81,layer3.0.downsample.0,0.5,0.4806343388499875,0.4056183070319898,0.4806325268989882,0.4056166392819274,103.3306,103.33059,0.7816
81,layer3.5.conv2,0.12016126844618055,-0.48100856442565165,-0.4402679181348742,-0.48100856442565165,-0.4402679181348742,105.63457,105.63457,0.7816
