mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
38,0.23367369139158686,-0.013792299193843898,-0.05333783937111959,-0.013792297887351812,-0.05333785117566366,124.58094787597656,124.58094787597656,0.7795999999999995
39,0.23287542303045242,-0.017402403082175524,-0.05648857074004769,-0.017402343200214675,-0.05648850932886213,123.85875701904297,123.85875701904297,0.7735999999999993
40,0.23271274280261708,-0.02040100920233382,-0.05365877433164114,-0.020400827116157916,-0.05365860811684355,122.1816177368164,122.1816177368164,0.7779999999999996
41,0.22743655826236395,-0.022788672884387802,-0.06928467729134921,-0.02278866521355088,-0.06928466630804742,123.18903350830078,123.18903350830078,0.7811999999999993
42,0.23279753676405895,-0.025889622513698484,-0.06165058301408154,-0.025889556549023657,-0.061650526139843224,124.0124282836914,124.0124282836914,0.7745999999999996
43,0.23049250880519193,-0.028891938025604483,-0.06819300214281626,-0.02889210218551937,-0.06819315661062227,122.8485107421875,122.8485107421875,0.7828000000000007
44,0.24154346912830807,-0.03319980934515888,-0.06019129755371642,-0.03319975283031355,-0.06019123001337416,125.11834716796875,125.11834716796875,0.7706000000000007
45,0.2288272044322154,-0.03546379493657294,-0.07676384075289003,-0.03546377833631348,-0.07676383646614722,122.71247100830078,122.71247100830078,0.782
46,0.23474438412411433,-0.03781350684393044,-0.06324886727542178,-0.03781356831759407,-0.06324893705257513,122.6083984375,122.6083984375,0.7728
47,0.2394550197475308,-0.04169309991027931,-0.06499063056350912,-0.04169310465284216,-0.06499063360399646,124.2772216796875,124.2772216796875,0.7673999999999995
48,0.24064491890572218,-0.044615858500845526,-0.060320703111094234,-0.044615762001747224,-0.06032057285762691,124.70536804199219,124.70536804199219,0.7823999999999994
49,0.23647821558130397,-0.04765419321164856,-0.07436614861000043,-0.047654402825503595,-0.07436636463846073,124.15998840332031,124.15998840332031,0.7910000000000003
50,0.22846643487970394,-0.050135618132846525,-0.08734371481751282,-0.05013555431338565,-0.08734365401456756,122.38951873779297,122.3895034790039,0.7742000000000003
51,0.23159477302620007,-0.05270733716705118,-0.0697768698409047,-0.05270736055921442,-0.06977685660195995,116.47235107421875,116.47235107421875,0.785
52,0.239171116917699,-0.054988287367762075,-0.06313718003643896,-0.05498826548115771,-0.06313720470052667,121.90350341796875,121.90350341796875,0.7726000000000003
53,0.23166398744325384,-0.0569817395635267,-0.08673354511232283,-0.056981919965616454,-0.08673370523565052,122.7426528930664,122.74263763427734,0.7821999999999997
54,0.23181158071523672,-0.05990909878534086,-0.07777141455428958,-0.05990913208874369,-0.07777156220691812,120.20626831054688,120.20626831054688,0.7793999999999998
55,0.23280596804690437,-0.061732325443135914,-0.086399616378918,-0.061732385746247356,-0.08639967309396943,123.8858642578125,123.8858642578125,0.7698
56,0.23024819634698176,-0.06513726172614286,-0.08440147931403047,-0.06513723912768003,-0.08440145938766684,120.89006805419922,120.89006805419922,0.7777999999999995
57,0.23093478457705752,-0.06737944150091996,-0.0934705314984614,-0.06737948057327796,-0.09347059871133066,121.48318481445312,121.48318481445312,0.7791999999999997
58,0.23749529635226052,-0.07159189444051446,-0.07819196134137325,-0.07159184184786131,-0.0781919363671444,121.73068237304688,121.73068237304688,0.7846000000000003
59,0.23298706879486908,-0.07369610446384703,-0.07897807911717315,-0.07369617983913324,-0.0789781542038123,119.40011596679688,119.40011596679688,0.7786000000000005
60,0.23343037556599572,-0.07714283820192329,-0.0951258427672293,-0.07714283684445723,-0.09512585131400156,121.60648345947266,121.60648345947266,0.7880000000000001
61,0.23672557521510773,-0.07943634329024798,-0.09367800493496566,-0.07943626337135505,-0.09367793990028497,123.57624053955078,123.57624053955078,0.7733999999999995
62,0.22992789924323742,-0.08156302017717715,-0.09993355840850186,-0.08156299055106062,-0.09993352774816784,118.18383026123047,118.18383026123047,0.7733999999999995
63,0.231734347415042,-0.08521731120126769,-0.09898745255928518,-0.08521718594639804,-0.09898728712097253,119.24131774902344,119.24131774902344,0.7774
64,0.23345746793546476,-0.08777695200548852,-0.09713186191112055,-0.08777691424194768,-0.09713180375813833,122.12013244628906,122.12013244628906,0.7673999999999995
65,0.23292124521982924,-0.0901260068420439,-0.09429152254794373,-0.09012586831872213,-0.09429138299082623,118.76634979248047,118.76634979248047,0.7724000000000003
66,0.23356969793279606,-0.09292284992909892,-0.10028543610009036,-0.09292284649158475,-0.10028543794954517,120.96471405029297,120.96471405029297,0.7747999999999998
67,0.22987771249032238,-0.09531160536100192,-0.10472075004997844,-0.0953116622052792,-0.10472082982738153,118.31062316894531,118.31063842773438,0.7807999999999996
68,0.2345069335387634,-0.09741617777436748,-0.11238683503565403,-0.09741597427147566,-0.1123866357557036,122.13306427001953,122.13306427001953,0.7714
69,0.23503797834699935,-0.10017006074797954,-0.10792688182659146,-0.10016999981447573,-0.10792680389971437,122.72777557373047,122.72777557373047,0.7694000000000002
70,0.22815466070318366,-0.10243269772904018,-0.12283219845337627,-0.10243275667412988,-0.12283225763792137,121.24024963378906,121.24024963378906,0.7809999999999996
71,0.2325158333993173,-0.1056193821212841,-0.11411320484756977,-0.10561952114759596,-0.11411334171522834,121.9266128540039,121.9266128540039,0.7772000000000003
72,0.232893282228762,-0.1091931289509266,-0.11313153695632121,-0.10919294785368792,-0.11313136916150902,120.8807373046875,120.88075256347656,0.7744
73,0.22676566413214977,-0.11236560559038042,-0.12574677867747378,-0.11236564940274935,-0.12574679817082915,116.34306335449219,116.34307861328125,0.7687999999999996
74,0.23241549426012925,-0.11493061403427765,-0.11915592780401481,-0.1149307890360372,-0.11915609444549369,120.92755126953125,120.92755126953125,0.7609999999999996
75,0.22783038852451087,-0.11911581318174566,-0.12777632507463296,-0.11911582062431911,-0.12777634620710543,118.38330078125,118.38330078125,0.7715999999999996
