mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
27,0.23643313800250446,0.0221656413799759,-0.017643620850562845,0.022165713975527586,-0.01764354088033288,124.48741149902344,124.48741149902344,0.7717999999999997
28,0.23448606153150217,0.03376563465974356,-0.019411244350828208,0.033765950486125886,-0.019410928112415654,123.19462585449219,123.19462585449219,0.7775999999999997
29,0.2331338830896327,0.023026910755475038,-0.02100361464445048,0.023026953386908175,-0.02100359944158042,124.11024475097656,124.11024475097656,0.7883999999999997
30,0.23590126839485973,0.016199150279924895,-0.022777225706314113,0.016199353537131846,-0.02277704097497405,124.91239929199219,124.91238403320312,0.7851999999999998
31,0.229939434979413,0.02392975352599102,-0.024505454609929776,0.02392974637855046,-0.024505460154061888,119.8192138671875,119.8192138671875,0.7772000000000003
32,0.2347548315832923,0.011259396629322462,-0.028629766395945798,0.011259710395073206,-0.02862948516866316,124.51314544677734,124.51314544677734,0.7777999999999995
33,0.22943149601017038,0.023149589016085614,-0.03060096915705897,0.023149358790029082,-0.03060118883501486,123.51687622070312,123.51687622070312,0.7816000000000002
34,0.2273646403361369,0.025696749888669178,-0.032082192635867826,0.025696760114993777,-0.03208217626659917,122.66065979003906,122.66065979003906,0.7774
35,0.22868020684869436,0.01595811196270901,-0.040364123825086085,0.01595796166849411,-0.04036425523518277,123.9216079711914,123.9216079711914,0.7623999999999996
36,0.22841392265067806,0.010946931086785237,-0.042800382784624134,0.01094697754931634,-0.042800372743518826,123.0016860961914,123.0016860961914,0.7689999999999994
37,0.22729080933350346,0.004160304796487067,-0.04679002424779728,0.004160248763093918,-0.046790113159980065,120.15634155273438,120.15635681152344,0.7844000000000005
38,0.2284016537594724,0.0035064118451700725,-0.04885778296369565,0.0035064084773881155,-0.048857763583314874,122.0418701171875,122.0418701171875,0.7731999999999996
39,0.23192103847011075,-0.017210447108270077,-0.052537505752029215,-0.01721061915270798,-0.0525376640642789,121.66560363769531,121.66560363769531,0.7752000000000007
40,0.23122060048329585,-0.012671288683749352,-0.05428362486606925,-0.012671166469839722,-0.05428346373281637,123.03318786621094,123.0331802368164,0.7781999999999992
41,0.22836556878533812,-0.008012687898538465,-0.05727156228756373,-0.008013045028841927,-0.057271925286100304,122.60720825195312,122.60720825195312,0.7673999999999995
42,0.23637805973087347,-0.025538418504227427,-0.05931811901110488,-0.02553849846856166,-0.059318207478842935,122.22390747070312,122.22390747070312,0.7673999999999995
