mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf
0,layer3.1.conv1,0.1198238796657986,-0.06703979181640718,0.06709733134799092,-0.06703706282624955,0.06710058434098554,93.76812,93.7681,0.7776
0,layer3.0.conv1,0.18156602647569445,0.03638053502214143,0.09913453092891832,0.0363792009347774,0.09913311606107825,100.630936,100.630936,0.7776
0,layer2.3.conv2,0.1246337890625,0.6393367839534881,0.2020829902172704,0.6393367839534881,0.2020829902172704,117.18118,117.18118,0.7776
0,layer2.3.conv1,0.243408203125,0.012873516377642575,0.1613394544786438,0.012873516377642575,0.1613394544786438,94.77968,94.77968,0.7776
0,layer2.2.conv2,0.22892252604166666,0.3483107272492634,0.21773505879556287,0.34831014539064176,0.21773453328639908,143.05116,143.05116,0.7776
0,layer2.2.conv1,0.24338785807291666,0.013158176689209034,0.16081658740496035,0.013159489931542435,0.16081809204018807,94.90901,94.90901,0.7776
0,layer2.1.conv2,0.24439832899305555,0.2904869365329168,0.2054240470293022,0.2904869365329168,0.2054240470293022,142.8817,142.8817,0.7776
0,layer2.1.conv1,0.2436252170138889,0.008304892840445558,0.15433346091809785,0.008303970891438814,0.154332545755333,95.1519,95.15188,0.7776
0,layer2.0.downsample.0,0.5,0.6140143343482576,0.5752833538763086,0.6140143343482576,0.5752833538763086,48.86607,48.86607,0.7776
0,layer2.0.conv2,0.24327256944444445,0.010813688574132438,0.1548085874914217,0.010813688574132438,0.1548085874914217,95.40482,95.40482,0.7776
0,layer2.0.conv1,0.368896484375,0.2897148463322873,0.3078976140699014,0.2897148463322873,0.3078976140699014,111.71513,111.71513,0.7776
0,layer1.2.conv2,0.498046875,0.40891976558039816,0.5483192671237039,0.40891976558039816,0.5483192671237039,105.46717,105.46717,0.7776
0,layer1.2.conv1,0.4981553819444444,0.34531647264541354,0.5078010587984493,0.34531647264541354,0.5078010587984493,101.45806,101.45806,0.7776
0,layer1.1.conv2,0.4979112413194444,0.3960681475109968,0.5350309810676505,0.3960681475109968,0.5350309810676505,105.324844,105.324844,0.7776
0,layer1.1.conv1,0.4981011284722222,0.3252900214829873,0.48171834609891745,0.3252900214829873,0.48171834609891745,101.94079,101.94079,0.7776
0,layer1.0.conv2,0.4980740017361111,0.3653758616049801,0.5001592696765949,0.3653758616049801,0.5001592696765949,105.5158,105.5158,0.7776
0,layer3.0.conv2,0.12024943033854167,-0.0731577938011322,0.059154034670009736,-0.0731577938011322,0.059154034670009736,94.267555,94.267555,0.7776
0,layer1.0.conv1,0.4816351996527778,0.3541965004155925,0.5054554630543496,0.3541965004155925,0.5054554630543496,99.68391,99.68391,0.7776
0,layer3.0.downsample.0,0.5,1.1611076992460228,0.9224524188284894,1.1611064555801103,0.922451501280588,117.54303,117.54301,0.7776
0,layer3.2.conv1,0.12045966254340278,-0.06673401940211336,0.06899775081392955,-0.06673591437066168,0.06899558024609774,93.99541,93.99541,0.7776
0,fc,0.5,0.6799251776262484,1.2516173713057392,0.6799251776262484,1.2516173713057392,45.932953,45.932953,0.7776
0,layer4.2.conv2,0.05959955851236979,-0.10157242766962402,0.024439978596625268,-0.10157242766962402,0.024439978596625268,93.8492,93.8492,0.7776
0,layer4.2.conv1,0.059870402018229164,-0.10127613045697056,0.025392803347552863,-0.10127613045697056,0.025392803347552863,94.16399,94.16399,0.7776
0,layer4.1.conv2,0.05993864271375868,-0.10124620543360816,0.023419644539594168,-0.10124620543360816,0.023419644539594168,94.63759,94.63759,0.7776
0,layer4.1.conv1,0.0598250495062934,-0.10196166940773765,0.023041181183033818,-0.10196166940773765,0.023041181183033818,94.37848,94.37848,0.7776
0,layer4.0.downsample.0,0.5,1.2463310466365711,0.9210207192941142,1.2463310466365711,0.9210207192941142,254.61711,254.61711,0.7776
0,layer4.0.conv2,0.05987972683376736,-0.10234304096837228,0.020978218716814007,-0.10233835867058425,0.02098354427465325,94.76317,94.76317,0.7776
0,layer4.0.conv1,0.08964792887369792,-0.013632499046239404,0.0434035878115078,-0.013625967382731549,0.04341049716439289,99.88022,99.88022,0.7776
0,layer3.5.conv2,0.12016126844618055,-0.06591201653083337,0.0693378817416394,-0.06591313903523972,0.06933659670585543,93.86688,93.86688,0.7776
0,layer3.5.conv1,0.12031724717881945,-0.06450745095764124,0.07127701659762732,-0.06450745095764124,0.07127701659762732,93.931274,93.931274,0.7776
0,layer3.4.conv2,0.1201663547092014,-0.0694272441239659,0.06551186311210634,-0.06942295850238532,0.06551677017671369,93.83631,93.83631,0.7776
0,layer3.4.conv1,0.12044609917534722,-0.07304590165018214,0.061164825229264384,-0.0730437314365929,0.06116735314605124,94.09054,94.09053,0.7776
0,layer3.3.conv2,0.12044779459635417,-0.0693233163823318,0.0655882951856415,-0.0693277689358904,0.06558319718647673,94.063576,94.063576,0.7776
0,layer3.3.conv1,0.12043931749131945,-0.07080486857948579,0.06408061448901405,-0.07080717362340118,0.06407797483619736,94.023964,94.023964,0.7776
0,layer3.2.conv2,0.1206020779079861,-0.06814013503239909,0.06673020247943884,-0.06814013503239909,0.06673020247943884,94.221275,94.221275,0.7776
0,layer3.1.conv2,0.1204189724392361,-0.07218670053257469,0.061512112891385806,-0.07218967715910699,0.06150870733002836,94.180954,94.180954,0.7776
0,conv1,0.5,0.8188213373621164,0.6709277995684296,0.8188213373621164,0.6709277995684296,59.743744,59.743744,0.7776
1,layer1.0.conv1,0.402099609375,0.44054992241378843,0.4758511450317404,0.44054992241378843,0.4758511450317404,97.796104,97.796104,0.7632
