mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
1000,layer4.1.conv2,0.05942662556966146,-0.09875755539635375,0.024830153197534007,3.281029633790846,55.02845145647084,94.08688,1.7027296,0.4574,0,0,0
1000,layer3.1.conv1,0.11874559190538195,-0.0702187952263032,0.06337681006655092,3.390074687804124,39.49011820481274,92.93867,2.4136984,0.4574,0,0,0
1000,layer3.1.conv2,0.11929151746961805,-0.07315820226036755,0.059778665324904064,3.468850656814099,40.621145467630726,93.40728,2.3928006,0.4574,0,0,0
1000,layer3.2.conv1,0.119415283203125,-0.07822773719606349,0.055537074701919965,3.4094728485046533,41.40724522566509,93.23186,2.307597,0.4574,0,0,0
1000,layer3.2.conv2,0.11974080403645833,-0.066039004151442,0.0691530764790738,3.4930319065687105,42.43685924653524,93.545166,2.2975922,0.4574,0,0,0
1000,layer3.3.conv1,0.11931355794270833,-0.07044204559828685,0.06437063247974557,3.5052968661985298,43.1249830087675,93.16661,2.2597494,0.4574,0,0,0
1000,layer3.3.conv2,0.1191067165798611,-0.0701403781897389,0.06452612379695101,3.4651755094712353,42.8241330892104,93.03789,2.2522612,0.4574,0,0,0
1000,layer3.4.conv1,0.1195949978298611,-0.07805860594516326,0.05575954840064095,3.426220487128861,42.72361212603054,93.367165,2.241295,0.4574,0,0,0
1000,layer3.0.downsample.0,0.5,0.42044638770459364,0.4367427721374409,3.8227381604896413,18.074522569212277,91.1439,6.895555,0.4574,0,0,0
1000,layer3.4.conv2,0.119049072265625,-0.07518213346737596,0.05884546514312114,3.413441384675198,42.73050614851858,92.97699,2.2280545,0.4574,0,0,0
1000,layer3.5.conv2,0.11906602647569445,-0.0703638118541036,0.06431401534032806,3.4891942093934265,43.648317049379635,92.99854,2.2190487,0.4574,0,0,0
1000,layer4.0.conv1,0.08879937065972222,-0.01133756749729895,0.04135995460776126,3.821476454262399,47.46628008766238,99.777336,2.0845354,0.4574,0,0,0
1000,layer4.0.conv2,0.059343973795572914,-0.105617989937285,0.014110203441323636,3.326435076108218,50.86310232723879,94.49182,1.8364524,0.4574,0,0,0
1000,layer4.0.downsample.0,0.5,0.3981112489343429,0.41381130007889383,4.671982463037133,25.02314538116215,182.38263,9.811408,0.4574,0,0,0
1000,layer4.1.conv1,0.05929607815212674,-0.1007729628764602,0.023396642821506494,3.2682396837627374,55.42594245634834,93.72439,1.6872001,0.4574,0,0,0
1000,layer4.2.conv2,0.05905871921115451,-0.10025459486119827,0.022834079111676394,3.2404374696404306,54.160634978702284,93.5573,1.7068782,0.4574,0,0,0
1000,fc,0.5,0.2883864066611842,0.36436114866076513,3.4302261653131363,16.825516820351528,118.61079,9.146688,0.4574,0,0,0
1000,layer3.5.conv1,0.11916605631510417,-0.06712729882303371,0.06823952904625898,3.4680428294484242,43.486487150041086,93.03875,2.2174234,0.4574,0,0,0
1000,layer3.0.conv2,0.11891343858506945,-0.06833330925710135,0.06184154811559613,3.259087617669156,34.36827631527135,93.71138,2.7463717,0.4574,0,0,0
1000,layer4.2.conv1,0.059337615966796875,-0.10255646922715916,0.02208618410491174,3.2171143648768092,55.41908149022667,93.65951,1.6714745,0.4574,0,0,0
1000,layer2.3.conv2,0.2408718532986111,0.00883403514027239,0.15643920496252123,3.432934584175075,30.559519027707825,93.83495,3.4067976,0.4574,0,0,0
1000,layer3.0.conv1,0.18007066514756945,0.02906058471195661,0.09056978398609924,3.672675666539254,30.5866824527542,99.94724,3.431935,0.4574,0,0,0
1000,conv1,0.5,0.16923965379840938,0.1556998327118589,1.995953947169001,8.308782188456664,51.74741,6.1354847,0.4574,0,0,0
1000,layer1.0.conv1,0.4938693576388889,0.2492708938348532,0.4314361475424901,3.4734788591369363,22.521536894495924,96.2797,5.5247073,0.4574,0,0,0
1000,layer1.0.conv2,0.4934353298611111,0.23081744384106137,0.4131805370237068,3.7227863115285618,24.08256804424304,95.80629,5.430959,0.4574,0,0,0
