mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
0,0.24170438520185228,0.25039283800515816,0.252213860695729,0.250392743463869,0.2522137389717142,108.93228912353516,108.93228912353516,0.8476,0.9234451814680487,0.8230078461840344,0.10925305200711863
1,0.2389701637061867,0.22258425181382444,0.19953750499907577,0.22258449386388512,0.19953772805451256,117.3995590209961,117.3995590209961,0.8435999999999995,1.029465600848198,0.820746887010712,0.11010801265688024
2,0.2335342773804078,0.19761990626260242,0.15580608277022528,0.19762013820691443,0.15580634292800552,117.34396362304688,117.3439712524414,0.7715999999999996,0.8526040974098283,0.8186944868648498,0.10914620114954515
3,0.2377946068932702,0.16882945709346345,0.11575880546175578,0.16882948792029628,0.11575883317827641,119.17912292480469,119.17912292480469,0.782,1.163956023803031,0.8253424360817992,0.1089132840177609
4,0.23512121435400246,0.15922917498309896,0.10164173144945407,0.1592292863447073,0.10164182158030007,119.17059326171875,119.17059326171875,0.779,0.9162865356114265,0.8192344665661117,0.10955859210746388
5,0.2341108121671476,0.1504555780172484,0.0916486987410016,0.15045583747560246,0.09164893717839133,119.01569366455078,119.01570129394531,0.7781999999999992,0.9197857474555841,0.8175438712343813,0.10823002428349053
6,0.24083079661692944,0.13677663773728393,0.07875335604447567,0.13677695065714227,0.07875365493844162,121.31439971923828,121.31439971923828,0.7798000000000006,0.8971193015978143,0.8222882150793729,0.11007743367592766
7,0.23496979492920658,0.12235134362566238,0.05645684507587091,0.12235145975901746,0.05645695841245816,120.57313537597656,120.57313537597656,0.7701999999999994,0.8718417607046463,0.8203817624313948,0.10903719581090354
8,0.2316204563633458,0.10540031231530765,0.0387921097060154,0.10540024658053622,0.03879201190597618,120.25225830078125,120.25225830078125,0.7774,0.8979159221053123,0.8214473598470767,0.10520182525540712
9,0.22862386846685553,0.09434547197895617,0.01939546437326395,0.09434536027648904,0.019395367110812547,120.32337188720703,120.3233871459961,0.7729999999999998,0.8796020595709214,0.8214235883664844,0.10723791257726888
10,0.229583705867733,0.08611550038243851,0.013001660654603637,0.08611571116800142,0.013001830225159697,120.32762145996094,120.32763671875,0.8470000000000004,0.9015810177535624,0.8215690427281546,0.10788980586546477
11,0.23000930236266542,0.08147211870314801,0.00904049364121642,0.08147190614322025,0.009040288155903171,121.38813018798828,121.38813018798828,0.8428000000000003,0.9479915099470196,0.8231265388179712,0.1081770319640747
12,0.23479546440972224,0.07850679028507747,0.007280327486934203,0.0785068517280234,0.00728036660302532,122.54174041748047,122.54175567626953,0.8456000000000004,1.4178311121020768,0.8243125755074284,0.10873940931855682
13,0.22895682395041533,0.07592283807070367,-0.0013455472283018695,0.0759228301201303,-0.001345551844216589,121.64778900146484,121.64778900146484,0.8405999999999993,0.8697903994470835,0.8165065025659975,0.10785151146427355
14,0.23419690060543946,0.07132520326312747,0.005251062317450158,0.07132537972755952,0.005251283427353154,123.86031341552734,123.86031341552734,0.8417999999999994,1.0226072855797168,0.8186346085659317,0.10745624653335399
15,0.2316378458842143,0.06718513004052207,0.002478961856794955,0.06718526763731562,0.0024791261499908916,122.94386291503906,122.94386291503906,0.8449999999999995,0.8998570265500127,0.8228066929359902,0.10678629735629436
16,0.226768367641323,0.06312163323801888,-0.007618926385697023,0.06312163302330015,-0.007618927210495534,122.7731704711914,122.7731704711914,0.8421999999999992,0.931213870745253,0.8228624418888115,0.10845658148585396
17,0.23306070505319776,0.06110538889810409,-0.0034372386394281008,0.06110552378848687,-0.0034370873302125835,123.3117446899414,123.3117446899414,0.8408000000000007,0.8974092578062335,0.8258587088358548,0.10858343966294853
18,0.22857818374404681,0.05760798196824171,-0.008080299095663159,0.05760825408270592,-0.008080050014523553,122.00967407226562,122.00967407226562,0.8431999999999996,0.8963823579755184,0.8195406520664955,0.10523804214362012
19,0.23434087392446157,0.05539313226095963,-0.004975877039942994,0.0553928436443024,-0.004976184915356668,123.68145751953125,123.68145751953125,0.8444000000000002,0.877401342867194,0.8218065510561491,0.10602838829029658
20,0.22875851697033953,0.0532206293749929,-0.012867325365717141,0.053220341171593265,-0.012867624565488112,122.64311981201172,122.64311981201172,0.7510000000000003,1.0081465031850982,0.8268170317825758,0.10881017704070754
21,0.23113515355565525,0.05139362769718515,-0.012232082334472011,0.051393489224470026,-0.012232205227515405,123.14534759521484,123.14534759521484,0.7912,0.9002678579071889,0.8262353756157634,0.10666135145650384
22,0.22817132852456948,0.048912945661943104,-0.017957758818698856,0.04891288917184148,-0.017957834922382267,122.31248474121094,122.31248474121094,0.7491999999999993,0.9879996733286897,0.8224191545581632,0.10761216145879883
23,0.2338683440520599,0.04664652661659183,-0.012471439440694452,0.04664657914983897,-0.012471394335766006,123.8411865234375,123.8411865234375,0.7846000000000003,1.0575258295882393,0.8291297244611766,0.10599253401244206
