mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
24,0.23294672235712283,0.04097045015529527,-0.012959119256187193,0.040970398858192564,-0.012959184684495813,125.15608215332031,125.15608215332031,0.7795999999999995,1.2002464825841221,0.821355971307854,0.10642500927760261
25,0.23861608419332422,0.01221033218179427,-0.014560806674660004,0.012210524142807232,-0.0145606011555311,124.21477508544922,124.21479034423828,0.7636000000000002,1.5169548717503611,0.8529871113918173,0.09777803309246277
26,0.23550793072124857,0.03124060684728156,-0.015843564748131523,0.03124082196275466,-0.01584334236698233,123.47958374023438,123.47958374023438,0.7740000000000006,0.9419292487405442,0.8273307377614315,0.10424330530606994
27,0.23643313800250446,0.0221656413799759,-0.017643620850562845,0.022165713975527586,-0.01764354088033288,124.48741149902344,124.48741149902344,0.7717999999999997,1.5138690125297856,0.8517830440217735,0.09938402295894155
28,0.23448606153150217,0.03376563465974356,-0.019411244350828208,0.033765950486125886,-0.019410928112415654,123.19462585449219,123.19462585449219,0.7775999999999997,1.0244256162361518,0.8147370656234245,0.10318020634438309
29,0.2331338830896327,0.023026910755475038,-0.02100361464445048,0.023026953386908175,-0.02100359944158042,124.11024475097656,124.11024475097656,0.7883999999999997,0.9677587813018141,0.8180237320649818,0.10369294626674938
30,0.23590126839485973,0.016199150279924895,-0.022777225706314113,0.016199353537131846,-0.02277704097497405,124.91239929199219,124.91238403320312,0.7851999999999998,1.8623072917799692,0.8506107582906642,0.09909143670002016
31,0.229939434979413,0.02392975352599102,-0.024505454609929776,0.02392974637855046,-0.024505460154061888,119.8192138671875,119.8192138671875,0.7772000000000003,0.7922984803649219,0.8136453896321404,0.10375653878462872
32,0.2347548315832923,0.011259396629322462,-0.028629766395945798,0.011259710395073206,-0.02862948516866316,124.51314544677734,124.51314544677734,0.7777999999999995,1.0967254407099776,0.8430635676950535,0.10039475668374433
33,0.22943149601017038,0.023149589016085614,-0.03060096915705897,0.023149358790029082,-0.03060118883501486,123.51687622070312,123.51687622070312,0.7816000000000002,0.9168793449329363,0.8218073320897096,0.10313238722187772
34,0.2273646403361369,0.025696749888669178,-0.032082192635867826,0.025696760114993777,-0.03208217626659917,122.66065979003906,122.66065979003906,0.7774,0.9263311440276133,0.8173663469429303,0.10564135158591821
35,0.22868020684869436,0.01595811196270901,-0.040364123825086085,0.01595796166849411,-0.04036425523518277,123.9216079711914,123.9216079711914,0.7623999999999996,1.0691049780595947,0.8209391048166832,0.1071933985111449
36,0.22841392265067806,0.010946931086785237,-0.042800382784624134,0.01094697754931634,-0.042800372743518826,123.0016860961914,123.0016860961914,0.7689999999999994,1.0781284334087693,0.8181715052667576,0.10406130693528294
37,0.22729080933350346,0.004160304796487067,-0.04679002424779728,0.004160248763093918,-0.046790113159980065,120.15634155273438,120.15635681152344,0.7844000000000005,0.8993957058803456,0.8180901764467176,0.10497638616623138
38,0.2284016537594724,0.0035064118451700725,-0.04885778296369565,0.0035064084773881155,-0.048857763583314874,122.0418701171875,122.0418701171875,0.7731999999999996,0.9025962256096505,0.811852679552212,0.10446088651275272
39,0.23192103847011075,-0.017210447108270077,-0.052537505752029215,-0.01721061915270798,-0.0525376640642789,121.66560363769531,121.66560363769531,0.7752000000000007,1.339062992382694,0.8494288737930963,0.09998548348556348
40,0.23122060048329585,-0.012671288683749352,-0.05428362486606925,-0.012671166469839722,-0.05428346373281637,123.03318786621094,123.0331802368164,0.7781999999999992,1.3202781979296658,0.8126369185068238,0.10182359567372516
41,0.22836556878533812,-0.008012687898538465,-0.05727156228756373,-0.008013045028841927,-0.057271925286100304,122.60720825195312,122.60720825195312,0.7673999999999995,0.8668725549973346,0.8171545682735037,0.10380180328349226
42,0.23637805973087347,-0.025538418504227427,-0.05931811901110488,-0.02553849846856166,-0.059318207478842935,122.22390747070312,122.22390747070312,0.7673999999999995,0.8209388962871319,0.8156736992261976,0.10388512368250646
43,0.236250582400027,-0.02780429062653995,-0.061532452519265424,-0.027804271711329178,-0.06153244019024231,125.01274871826172,125.01274871826172,0.7795999999999995,0.8528312739689607,0.8196947485441305,0.10334521939354015
44,0.23254643116627363,-0.021023948035665575,-0.06331783175815801,-0.021024078614081954,-0.063317955634161,124.29951477050781,124.29951477050781,0.7828000000000007,0.9477699240921317,0.8284722633818029,0.1053351382209662
45,0.23241330625058654,-0.0370347599479481,-0.06617850260536613,-0.03703487687233527,-0.06617863822803755,117.04579162597656,117.04579162597656,0.7830000000000005,0.8026538640260696,0.7998200590885904,0.10461468066441593
46,0.23349271665464302,-0.03751754874659712,-0.06807607107124206,-0.037517601907617826,-0.06807611779920424,122.34284973144531,122.34284973144531,0.7648000000000003,0.8269096474993873,0.8125154207460462,0.10263460152107651
47,0.230027092827691,-0.02805209755127222,-0.06993308023468932,-0.028052160558148413,-0.06993310945619562,123.72393798828125,123.72393798828125,0.7761999999999997,1.48236126412411,0.8284127077947566,0.10581641253178621
48,0.23142413119296057,-0.04287695911569979,-0.07211935127354212,-0.0428770286916955,-0.07211942291220703,123.28279113769531,123.28279113769531,0.7643999999999994,0.862346891364133,0.8291675438264732,0.10248662842533869
49,0.22962077601893885,-0.04066412761382282,-0.07445493357965204,-0.04066411833527236,-0.07445493053885441,121.65724182128906,121.65724182128906,0.7742000000000003,1.0268649233354104,0.8349236795525758,0.10350879121360655
50,0.23270258173212274,-0.048498734938950794,-0.07586182699558483,-0.04849877685889971,-0.07586189374359757,122.36568450927734,122.36568450927734,0.7714,0.8907320493379155,0.8213830357599695,0.1043268840741143
51,0.22896465954479878,-0.03809445351976197,-0.07780969141735547,-0.03809442364393709,-0.07780967949498119,123.37052917480469,123.37051391601562,0.7715999999999996,1.0870654267837871,0.833051022835711,0.10425199391312588
52,0.22903260239609724,-0.049214102865275874,-0.07974888396176767,-0.04921430563936394,-0.0797490878453718,118.7542495727539,118.7542495727539,0.7841999999999995,1.1032849217991572,0.8335382038559775,0.10491166993583764
