mask_no,layer,sparsity,sm,rm,sw,rw,t1m,t1w,perf,copeland_score,compatibility,overlap_coefs
4,layer3.2.conv1,0.12045966254340278,-0.24149868552510864,-0.14519853788993664,-0.24149862954682136,-0.14519847480458542,97.06969,97.06969,0.7814,1.0142515897750854,1.0,0.0
5,layer3.0.conv1,0.18156602647569445,-0.15065218748874715,-0.17971996742808505,-0.15065216052120534,-0.17971996742808505,121.14461,121.144615,0.7822,1.4383578300476074,0.9490196078431372,0.0030525684809424927
5,layer2.3.conv2,0.07701958550347222,0.8228405239867611,0.15161445143457053,0.8228405239867611,0.15161445143457053,96.41889,96.41889,0.7822,0.29532817006111145,1.0,0.2882808824663891
5,layer2.3.conv1,0.234619140625,0.24562204174024876,0.10150035208536017,0.24562372253945322,0.10150183841175248,152.90459,152.90459,0.7822,0.7659574151039124,0.08771929824561403,0.11246714732667072
5,layer2.2.conv2,0.22585042317708334,0.3378712153077837,0.20279223156972878,0.3378712153077837,0.20279223156972878,142.4105,142.4105,0.7822,1.2439459562301636,1.0,0.07175568914274666
5,layer2.2.conv1,0.24338785807291666,0.00654388129699136,0.09512892769800195,0.006544922777624538,0.0951300608384345,105.13936,105.13936,0.7822,0.8296927809715271,0.4453125,0.0018374018006370948
5,layer2.1.conv2,0.24439832899305555,0.2706162132929647,0.17028020784682374,0.2706162132929647,0.17028020784682374,146.93112,146.93112,0.7822,0.6278035044670105,1.0,0.06361782574772055
5,layer2.0.conv1,0.368896484375,0.25348620429171403,0.28354979952589027,0.25348620429171403,0.28354979952589027,109.58773,109.58773,0.7822,0.6453949213027954,1.0,0.011224474041697722
5,layer2.0.downsample.0,0.5,0.5832257997640526,0.5510706876874766,0.5832215280389267,0.5510664404464208,48.506485,48.50649,0.7822,0.5237140655517578,1.0,1.0
5,layer2.0.conv2,0.24327256944444445,0.026627750827467784,0.11680515299289532,0.026627750827467784,0.11680515299289532,105.122154,105.122154,0.7822,0.0,0.0,0.00023719165085388995
5,layer3.0.conv2,0.12024943033854167,-0.27391246450969575,-0.4396215295732726,-0.27391246450969575,-0.4396215295732726,205.4807,205.4807,0.7822,0.0,0.0,0.0
5,layer1.2.conv2,0.4609375,0.3896821740198813,0.5073031095235582,0.3896821740198813,0.5073031095235582,100.164795,100.164795,0.7822,0.8510144352912903,1.0,0.05394970197998251
5,layer1.2.conv1,0.484375,0.34880249969330457,0.47342427253844155,0.34880249969330457,0.47342427253844155,103.789894,103.789894,0.7822,0.9526093006134033,1.0,0.07283821921051839
5,layer1.1.conv2,0.492431640625,0.37193422179453567,0.505785277806099,0.37193422179453567,0.505785277806099,104.53611,104.53611,0.7822,1.0497442483901978,0.9841269841269841,0.06547844788560765
5,layer1.1.conv1,0.4981011284722222,0.32979932405090767,0.4605796491644633,0.32979932405090767,0.4605796491644633,105.59186,105.59186,0.7822,0.9492518305778503,0.953125,0.08038085150049665
5,layer1.0.conv2,0.476806640625,0.3698849498055221,0.4903847014067258,0.3698849498055221,0.4903847014067258,102.991936,102.991936,0.7822,1.0293700695037842,1.0,0.06815657663762939
5,layer2.1.conv1,0.2436252170138889,0.030813932707828784,0.11613177523816144,0.030813932707828784,0.11613177523816144,106.25374,106.25374,0.7822,0.949971616268158,0.5,0.0017982406540643764
5,layer3.0.downsample.0,0.5,1.0679897391771023,0.842173538220612,1.0679897391771023,0.842173538220612,117.219864,117.219864,0.7822,0.27991077303886414,1.0,1.0
5,layer3.2.conv2,0.1206020779079861,-0.29661068567276294,-0.21187057799520295,-0.29661049433882997,-0.21187036361051023,98.30148,98.30148,0.7822,1.0108296871185303,1.0,0.0001220703125
5,layer3.1.conv2,0.1204189724392361,-0.3635764082176228,-0.3003555412554676,-0.36357621596779727,-0.3003553299079832,101.923805,101.923805,0.7822,1.0249429941177368,1.0,0.00028483072916666663
5,layer1.0.conv1,0.3897569444444444,0.42011213096059047,0.448711145843922,0.42011213096059047,0.448711145843922,95.59019,95.59019,0.7822,0.952412486076355,0.9508196721311475,0.10849873036906138
5,fc,0.5,0.6177249209401853,1.1729962337113227,0.6177249209401853,1.1729962337113227,45.736877,45.736877,0.7822,0.0,0.0,0.0
5,layer4.2.conv2,0.026934305826822918,-0.21393062157095832,-0.38133220064846385,-0.2139308112328933,-0.3813323499199342,87.881165,87.881165,0.7822,0.0,0.0,0.0
5,layer4.2.conv1,0.059870402018229164,-0.39476447557198135,-0.46657810741054423,-0.39476447557198135,-0.46657810741054423,157.12886,157.12886,0.7822,0.4448889195919037,1.0,0.0
5,layer4.1.conv2,0.017711639404296875,-0.0655542612246349,-0.28202338568156177,-0.0655542612246349,-0.28202338568156177,60.155518,60.155518,0.7822,3.499110221862793,1.0,0.0
5,layer4.1.conv1,0.05699369642469618,-0.39073135138521414,-0.4433651678988465,-0.39073135138521414,-0.4433651678988465,139.23712,139.23712,0.7822,0.3050563335418701,1.0,0.0
5,layer4.0.downsample.0,0.5,1.2280014638233672,0.9051794585014082,1.2280023555368067,0.9051802210117367,254.66135,254.66135,0.7822,0.059295903891325,1.0,1.0
5,layer4.0.conv2,0.03411865234375,0.9451646688042862,-0.03794228138032574,0.9451646688042862,-0.03794228138032574,281.16226,281.16226,0.7822,0.0,0.0,0.0
5,layer4.0.conv1,0.08964792887369792,-0.12668201213581282,-0.4669027489655656,-0.12668201213581282,-0.4669027489655656,297.93985,297.93985,0.7822,0.2545106112957001,1.0,0.0
5,layer3.5.conv2,0.12016126844618055,-0.25017622848278753,-0.15125280109711747,-0.25017622848278753,-0.15125280109711747,95.989784,95.989784,0.7822,1.688138484954834,0.62890625,0.0
5,layer3.4.conv2,0.1201663547092014,-0.22915404380636678,-0.1271094620882473,-0.22915404380636678,-0.1271094620882473,95.91818,95.91818,0.7822,1.0122432708740234,1.0,0.0
5,layer3.4.conv1,0.12044609917534722,-0.1945643442944156,-0.09138826138096917,-0.1945637124178703,-0.09138754856121459,96.86494,96.86494,0.7822,1.0061002969741821,1.0,0.0
5,layer3.3.conv2,0.12044779459635417,-0.18785095604499,-0.0783192142104787,-0.18785095604499,-0.0783192142104787,95.72647,95.72647,0.7822,1.0053719282150269,1.0,0.0003125
5,layer3.3.conv1,0.12043931749131945,-0.20668607436434136,-0.11011637752758416,-0.20668613237446865,-0.11011658265449653,97.95133,97.95136,0.7822,1.010521411895752,1.0,0.00015024038461538462
