mask_no,sparsity,sm,rm,sw,rw,t1m,t1w,perf
1000,0.2555428238602372,0.05699301197804195,0.19114592032401326,3.4403066549124706,34.517118239991035,93.6777572631836,3.638261079788208,0.7756000000000004
2000,0.2553785971335104,0.01736663109973438,0.13173682922480642,2.98587883546966,46.37795678399393,96.8995361328125,2.946113109588623,0.7908000000000005
3000,0.2551095292374894,-0.0010300805534063013,0.09349774188413398,1.9300585376665131,61.44867407364031,101.05802154541016,2.6828107833862305,0.7759999999999999
4000,0.2549731394908092,-0.03638286247506648,0.03677342304983575,1.87874685475689,78.30928094709719,106.2392807006836,2.596012592315674,0.7756000000000004
5000,0.2546850210195547,-0.04682741406074829,0.011716160176924012,1.8804096322051982,106.0479570003093,111.36679077148438,2.5804646015167236,0.7729999999999998
6000,0.2544057004086606,-0.05536232083589269,-0.00707873352930916,1.9249466333519987,151.2768550668333,115.30087280273438,2.5819571018218994,0.7745999999999996
7000,0.2540200608628648,-0.06224018059765626,-0.020929186162722133,1.969014673815922,221.64384918555052,117.4543685913086,2.6011500358581543,0.7719999999999995
8000,0.253602139584653,-0.07372433547508736,-0.03984636393356089,1.9788386014780883,326.53040256747,119.56973266601562,2.636261463165283,0.7802000000000003
9000,0.2531156339444914,-0.08196112160815414,-0.05457909105302724,1.9830357910494536,475.2022408159533,121.45626831054688,2.643395185470581,0.7781999999999992
10000,0.2524941246788781,-0.08783868848573508,-0.06649372848381266,2.0160063994618826,701.0558751534096,123.15172576904297,2.6692004203796387,0.7740000000000006
11000,0.2513918833689647,-0.09776025374021677,-0.08173265926173907,1.973799598605553,1057.3159286219352,124.22628784179688,2.685441732406616,0.7556000000000004
12000,0.25037728845178187,-0.09611744420668841,-0.08361328479903522,1.9889408189186528,1649.8267153055126,125.02307891845703,2.692753553390503,0.7922000000000003
13000,0.24866804059919295,-0.09607886044998648,-0.08606759766008416,1.9739447146686953,2629.387738781445,125.48681640625,2.7068023681640625,0.7567999999999994
14000,0.24774728952585406,-0.09692284220561298,-0.08911208106017895,1.985347690893952,4235.527517484194,125.84066009521484,2.724337339401245,0.7749999999999996
15000,0.2470992148459495,-0.0946784659968682,-0.08853056528428846,1.9711111333057856,6854.843363775554,125.9171371459961,2.737921953201294,0.7802000000000003
16000,0.24643332678992472,-0.09368492250980745,-0.08912130052917949,1.984168138432557,11291.139218416582,125.89813232421875,2.7493672370910645,0.7761999999999997
17000,0.24621310534777946,-0.08805219400523097,-0.08486215673017507,1.9658587221339254,18514.73259434987,125.9212417602539,2.7511191368103027,0.7696000000000003
